experiment_id,run_id,case_id,symbol,decision_session,usage_source,origin_run_id,agent_node,provider,model,thinking_mode,prompt_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,completion_tokens,reasoning_tokens,total_tokens,latency_seconds
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260816T164035970154Z_6306ea4e,Market Analyst,deepseek,deepseek-v4-flash,disabled,2397,2304,93,173,,2570,1.4384859470001174
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260816T164035970154Z_6306ea4e,Market Analyst,deepseek,deepseek-v4-flash,disabled,5743,2560,3183,627,,6370,4.215998958
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260816T164035970154Z_6306ea4e,Market Analyst,deepseek,deepseek-v4-flash,disabled,8814,6272,2542,318,,9132,2.242106636000017
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260816T164035970154Z_6306ea4e,Market Analyst,deepseek,deepseek-v4-flash,disabled,10981,9088,1893,232,,11213,1.8107673609999893
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260816T164035970154Z_6306ea4e,Market Analyst,deepseek,deepseek-v4-flash,disabled,12430,11136,1294,3243,,15673,23.422019456000044
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260816T164035970154Z_6306ea4e,Sentiment Analyst,deepseek,deepseek-v4-flash,disabled,2056,2048,8,1021,,3077,8.05467878100012
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260816T164035970154Z_6306ea4e,News Analyst,deepseek,deepseek-v4-flash,disabled,2015,1920,95,498,,2513,2.9641410449999057
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260816T164035970154Z_6306ea4e,News Analyst,deepseek,deepseek-v4-flash,disabled,2960,2944,16,349,,3309,2.267773315999875
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260816T164035970154Z_6306ea4e,News Analyst,deepseek,deepseek-v4-flash,disabled,3602,3200,402,970,,4572,8.045743988999902
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260816T164035970154Z_6306ea4e,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,2410,2304,106,258,,2668,1.9107277840000734
