experiment_id,run_id,case_id,symbol,decision_session,usage_source,origin_run_id,agent_node,provider,model,thinking_mode,prompt_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,completion_tokens,reasoning_tokens,total_tokens,latency_seconds
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Market Analyst,deepseek,deepseek-v4-flash,disabled,2096,0,2096,188,,2284,2.575910458981525
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Market Analyst,deepseek,deepseek-v4-flash,disabled,4687,2176,2511,958,,5645,5.7265656249946915
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Market Analyst,deepseek,deepseek-v4-flash,disabled,11767,5632,6135,2512,,14279,20.982269250031095
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Sentiment Analyst,deepseek,deepseek-v4-flash,disabled,2056,0,2056,905,,2961,7.463017917005345
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,News Analyst,deepseek,deepseek-v4-flash,disabled,1901,0,1901,497,,2398,3.13526966702193
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,News Analyst,deepseek,deepseek-v4-flash,disabled,2845,2304,541,197,,3042,1.9734616249916144
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,News Analyst,deepseek,deepseek-v4-flash,disabled,3181,2944,237,1226,,4407,10.96464299998479
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,1539,0,1539,322,,1861,2.650291208992712
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,2068,1792,276,256,,2324,2.142312165990006
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,2480,2304,176,1275,,3755,11.163788500009105
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Bull Researcher,deepseek,deepseek-v4-flash,disabled,6094,0,6094,1715,,7809,19.54737629200099
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Bear Researcher,deepseek,deepseek-v4-flash,disabled,9545,0,9545,1966,,11511,22.029992749972735
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Bull Researcher,deepseek,deepseek-v4-flash,disabled,11752,6016,5736,1843,,13595,18.093209207989275
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Bear Researcher,deepseek,deepseek-v4-flash,disabled,13490,1920,11570,2052,,15542,19.5120302910218
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Bull Researcher,deepseek,deepseek-v4-flash,disabled,15741,6016,9725,2090,,17831,14.943779167020693
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Bear Researcher,deepseek,deepseek-v4-flash,disabled,17887,7680,10207,2091,,19978,13.459067083022092
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Research Manager,deepseek,deepseek-v4-flash,disabled,12534,384,12150,991,,13525,11.962915165990125
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Trader,deepseek,deepseek-v4-flash,disabled,1750,0,1750,286,,2036,3.025673000025563
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Aggressive Analyst,deepseek,deepseek-v4-flash,disabled,6373,0,6373,1428,,7801,16.624840833013877
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Conservative Analyst,deepseek,deepseek-v4-flash,disabled,9214,0,9214,1144,,10358,14.02560649998486
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Neutral Analyst,deepseek,deepseek-v4-flash,disabled,11485,0,11485,1485,,12970,16.43658737494843
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Aggressive Analyst,deepseek,deepseek-v4-flash,disabled,13074,384,12690,1428,,14502,15.344013415975496
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Conservative Analyst,deepseek,deepseek-v4-flash,disabled,14769,1792,12977,1061,,15830,11.747259208990727
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260811T210814251902Z_2535896c,Neutral Analyst,deepseek,deepseek-v4-flash,disabled,15387,2944,12443,1494,,16881,12.633632083015982
