experiment_id,run_id,case_id,symbol,decision_session,usage_source,origin_run_id,agent_node,provider,model,thinking_mode,prompt_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,completion_tokens,reasoning_tokens,total_tokens,latency_seconds
M1_pilot_aapl_2023q4_4w_v1,20260813T221516239387Z_7e765a73,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T221516239387Z_7e765a73,Market Analyst,deepseek,deepseek-v4-flash,disabled,2398,0,2398,167,,2565,1.8857012080006825
M1_pilot_aapl_2023q4_4w_v1,20260813T221516239387Z_7e765a73,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T221516239387Z_7e765a73,Market Analyst,deepseek,deepseek-v4-flash,disabled,6508,2560,3948,1051,,7559,5.312678083999344
M1_pilot_aapl_2023q4_4w_v1,20260813T221516239387Z_7e765a73,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T221516239387Z_7e765a73,Market Analyst,deepseek,deepseek-v4-flash,disabled,14225,7552,6673,3568,,17793,24.373380000000907
M1_pilot_aapl_2023q4_4w_v1,20260813T221516239387Z_7e765a73,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T221516239387Z_7e765a73,Sentiment Analyst,deepseek,deepseek-v4-flash,disabled,2056,0,2056,1049,,3105,8.29140291600197
M1_pilot_aapl_2023q4_4w_v1,20260813T221516239387Z_7e765a73,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T221516239387Z_7e765a73,News Analyst,deepseek,deepseek-v4-flash,disabled,2015,0,2015,498,,2513,3.029670416999579
M1_pilot_aapl_2023q4_4w_v1,20260813T221516239387Z_7e765a73,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T221516239387Z_7e765a73,News Analyst,deepseek,deepseek-v4-flash,disabled,2960,2432,528,267,,3227,1.9648902090011688
M1_pilot_aapl_2023q4_4w_v1,20260813T221516239387Z_7e765a73,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T221516239387Z_7e765a73,News Analyst,deepseek,deepseek-v4-flash,disabled,3453,3200,253,1131,,4584,7.9736997919972055
M1_pilot_aapl_2023q4_4w_v1,20260813T221516239387Z_7e765a73,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T221516239387Z_7e765a73,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,2435,0,2435,258,,2693,2.1601084579997405
M1_pilot_aapl_2023q4_4w_v1,20260813T221516239387Z_7e765a73,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T221516239387Z_7e765a73,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,2900,2688,212,270,,3170,2.1920025830004306
M1_pilot_aapl_2023q4_4w_v1,20260813T221516239387Z_7e765a73,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T221516239387Z_7e765a73,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,3326,3072,254,1818,,5144,13.865952915999515
M1_pilot_aapl_2023q4_4w_v1,20260813T221516239387Z_7e765a73,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T221516239387Z_7e765a73,Bull Researcher,deepseek,deepseek-v4-flash,disabled,7745,0,7745,2373,,10118,21.353728958998545
M1_pilot_aapl_2023q4_4w_v1,20260813T221516239387Z_7e765a73,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T221516239387Z_7e765a73,Bear Researcher,deepseek,deepseek-v4-flash,disabled,12510,0,12510,2157,,14667,21.191622957998334
M1_pilot_aapl_2023q4_4w_v1,20260813T221516239387Z_7e765a73,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T221516239387Z_7e765a73,Bull Researcher,deepseek,deepseek-v4-flash,disabled,14440,7680,6760,2476,,16916,23.257340957999986
M1_pilot_aapl_2023q4_4w_v1,20260813T221516239387Z_7e765a73,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T221516239387Z_7e765a73,Bear Researcher,deepseek,deepseek-v4-flash,disabled,17252,4224,13028,2167,,19419,17.377218041998276
