experiment_id,run_id,case_id,symbol,decision_session,usage_source,origin_run_id,agent_node,provider,model,thinking_mode,prompt_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,completion_tokens,reasoning_tokens,total_tokens,latency_seconds
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260817T133126525309Z_11ae1ce4,Market Analyst,deepseek,deepseek-v4-flash,disabled,2397,2304,93,173,,2570,1.7467210539998632
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260817T133126525309Z_11ae1ce4,Market Analyst,deepseek,deepseek-v4-flash,disabled,4973,2560,2413,640,,5613,3.4679387640001096
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260817T133126525309Z_11ae1ce4,Market Analyst,deepseek,deepseek-v4-flash,disabled,10506,5504,5002,340,,10846,2.475777748000155
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260817T133126525309Z_11ae1ce4,Market Analyst,deepseek,deepseek-v4-flash,disabled,13308,10752,2556,3070,,16378,22.61016774100017
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260817T133126525309Z_11ae1ce4,Sentiment Analyst,deepseek,deepseek-v4-flash,disabled,2056,2048,8,955,,3011,7.756126085999995
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260817T133126525309Z_11ae1ce4,News Analyst,deepseek,deepseek-v4-flash,disabled,2015,1920,95,497,,2512,2.6576332150000326
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260817T133126525309Z_11ae1ce4,News Analyst,deepseek,deepseek-v4-flash,disabled,2959,2944,15,323,,3282,2.2654710079998495
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260817T133126525309Z_11ae1ce4,News Analyst,deepseek,deepseek-v4-flash,disabled,3524,3200,324,940,,4464,7.306087967999929
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260817T133126525309Z_11ae1ce4,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,2410,2304,106,312,,2722,2.020898415000147
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260817T133126525309Z_11ae1ce4,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,2929,2816,113,274,,3203,1.8241531500000292
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260817T133126525309Z_11ae1ce4,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,3359,3328,31,2010,,5369,16.60465000100021
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260817T133126525309Z_11ae1ce4,Bull Researcher,deepseek,deepseek-v4-flash,disabled,7177,256,6921,1482,,8659,15.677166692000128
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260817T133126525309Z_11ae1ce4,Bear Researcher,deepseek,deepseek-v4-flash,disabled,10160,256,9904,1457,,11617,16.02182338500006
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260817T133126525309Z_11ae1ce4,Bull Researcher,deepseek,deepseek-v4-flash,disabled,11581,1280,10301,1606,,13187,16.04010988699997
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,cache_origin,20260817T133126525309Z_11ae1ce4,Bear Researcher,deepseek,deepseek-v4-flash,disabled,13353,2816,10537,2002,,15355,18.730515119000074
