experiment_id,run_id,case_id,symbol,decision_session,usage_source,origin_run_id,agent_node,provider,model,thinking_mode,prompt_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,completion_tokens,reasoning_tokens,total_tokens,latency_seconds
M1_pilot_aapl_2023q4_4w_v1,20260813T233409151461Z_2e842979,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T233409151461Z_2e842979,Market Analyst,deepseek,deepseek-v4-flash,disabled,2398,2304,94,167,,2565,1.7242003330029547
M1_pilot_aapl_2023q4_4w_v1,20260813T233409151461Z_2e842979,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T233409151461Z_2e842979,Market Analyst,deepseek,deepseek-v4-flash,disabled,6508,2560,3948,1271,,7779,6.777435249998234
M1_pilot_aapl_2023q4_4w_v1,20260813T233409151461Z_2e842979,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T233409151461Z_2e842979,Market Analyst,deepseek,deepseek-v4-flash,disabled,14438,7680,6758,3105,,17543,23.819933374994434
M1_pilot_aapl_2023q4_4w_v1,20260813T233409151461Z_2e842979,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T233409151461Z_2e842979,Sentiment Analyst,deepseek,deepseek-v4-flash,disabled,2056,2048,8,1104,,3160,8.650092459000007
M1_pilot_aapl_2023q4_4w_v1,20260813T233409151461Z_2e842979,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T233409151461Z_2e842979,News Analyst,deepseek,deepseek-v4-flash,disabled,2015,1920,95,497,,2512,3.1611342090036487
M1_pilot_aapl_2023q4_4w_v1,20260813T233409151461Z_2e842979,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T233409151461Z_2e842979,News Analyst,deepseek,deepseek-v4-flash,disabled,2959,2432,527,285,,3244,2.3933295000024373
M1_pilot_aapl_2023q4_4w_v1,20260813T233409151461Z_2e842979,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T233409151461Z_2e842979,News Analyst,deepseek,deepseek-v4-flash,disabled,3486,3200,286,1209,,4695,9.062276290998852
M1_pilot_aapl_2023q4_4w_v1,20260813T233409151461Z_2e842979,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T233409151461Z_2e842979,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,2435,2432,3,312,,2747,2.4853837920018123
M1_pilot_aapl_2023q4_4w_v1,20260813T233409151461Z_2e842979,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T233409151461Z_2e842979,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,2954,2688,266,270,,3224,2.586909874997218
M1_pilot_aapl_2023q4_4w_v1,20260813T233409151461Z_2e842979,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T233409151461Z_2e842979,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,3380,3200,180,2279,,5659,18.011299750003673
M1_pilot_aapl_2023q4_4w_v1,20260813T233409151461Z_2e842979,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T233409151461Z_2e842979,Bull Researcher,deepseek,deepseek-v4-flash,disabled,7875,0,7875,2057,,9932,21.69782637499884
M1_pilot_aapl_2023q4_4w_v1,20260813T233409151461Z_2e842979,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T233409151461Z_2e842979,Bear Researcher,deepseek,deepseek-v4-flash,disabled,12010,0,12010,2542,,14552,26.165977874996315
M1_pilot_aapl_2023q4_4w_v1,20260813T233409151461Z_2e842979,AAPL:2023-10-06,AAPL,2023-10-06,live_request,20260813T233409151461Z_2e842979,Bull Researcher,deepseek,deepseek-v4-flash,disabled,15027,7808,7219,2566,,17593,24.456772375000583
