symbol,decision_session,decision_time_utc,action,target_weight,status,reason,strategy_id,experiment_id,raw_signal,metadata,rebalance_status
AMZN,2024-01-05,2024-01-05T21:00:00+00:00,BUY,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-01-05T21:00:00+00:00', 'session': '2024-01-05', 'symbol': 'AMZN', 'cash': 100000.0, 'quantity': 0.0, 'close_price': 145.2400055, 'market_value': 0.0, 'equity': 100000.0, 'current_weight': 0.0, 'average_entry_price': 0.0, 'unrealized_pnl': 0.0, 'realized_pnl': 0.0, 'cumulative_cost': 0.0, 'current_drawdown': 0.0, 'peak_equity': 100000.0, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 0.0, 'cumulative_slippage_cost': 0.0, 'cumulative_transaction_cost': 0.0}, 'next_execution_session': '2024-01-08', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).'], 'price_start_session': '2023-01-04', 'input_start_session': '2023-01-05', 'input_end_session': '2024-01-05', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': '11775bc4bcd16561eca7d825f9053907faaa082b38b226ba3bcba2457751e5e7', 'fitted_parameters': {'const': 0.0023419032904552013, 'ar.L1': 0.44149110746339115, 'ma.L1': -0.5388878188554996, 'sigma2': 0.00042514255943612686}, 'forecast_daily_returns': [0.004316019309194343, 0.0032134579578295655, 0.002726686925769197, 0.002511781843743767, 0.002416903161080849], 'forecast_5d_cumulative': 0.015276139228976415, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'BUY', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-01-05', 'last_observation_time_utc': '2024-01-05T21:00:00+00:00', 'row_count': 253, 'sha256': '923da1970caddc64b94cd1b98c05997696d9e9b0f7e4ac4c170316886b350b0e'}}",ordered
AMZN,2024-01-12,2024-01-12T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-01-12T21:00:00+00:00', 'session': '2024-01-12', 'symbol': 'AMZN', 'cash': 0.0, 'quantity': 680.796450903985, 'close_price': 154.6199951, 'market_value': 105264.74390287156, 'equity': 105264.74390287156, 'current_weight': 1.0, 'average_entry_price': 146.81337550274998, 'unrealized_pnl': 5264.743902871567, 'realized_pnl': 0.0, 'cumulative_cost': 99.92504996875661, 'current_drawdown': -0.0036086971667965706, 'peak_equity': 105645.98828146631, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 49.97501249375312, 'cumulative_slippage_cost': 49.95003747500349, 'cumulative_transaction_cost': 99.92504996875661}, 'next_execution_session': '2024-01-16', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).'], 'price_start_session': '2023-01-11', 'input_start_session': '2023-01-12', 'input_end_session': '2024-01-12', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': 'a0d6ea6216ce3a04cfe147db3acde4cea4b55425280de491ccddc0946ca2bde3', 'fitted_parameters': {'const': 0.002116302718857628, 'ar.L1': 0.5059776838214063, 'ma.L1': -0.6284541831980419, 'sigma2': 0.000403237821146088}, 'forecast_daily_returns': [0.0010493390827898885, 0.0015764429295584072, 0.0018431457130796958, 0.0019780913697545195, 0.0020463708605606055], 'forecast_5d_cumulative': 0.008521964129058812, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-01-12', 'last_observation_time_utc': '2024-01-12T21:00:00+00:00', 'row_count': 258, 'sha256': '43a473d0eeec6bdb9878e5f9a6d934883b7c3dae1cae41db7a074a40c555367b'}}",noop
AMZN,2024-01-19,2024-01-19T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-01-19T21:00:00+00:00', 'session': '2024-01-19', 'symbol': 'AMZN', 'cash': 0.0, 'quantity': 680.796450903985, 'close_price': 155.3399963, 'market_value': 105754.91816447816, 'equity': 105754.91816447816, 'current_weight': 1.0, 'average_entry_price': 146.81337550274998, 'unrealized_pnl': 5754.9181644781675, 'realized_pnl': 0.0, 'cumulative_cost': 99.92504996875661, 'current_drawdown': 0.0, 'peak_equity': 105754.91816447816, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 49.97501249375312, 'cumulative_slippage_cost': 49.95003747500349, 'cumulative_transaction_cost': 99.92504996875661}, 'next_execution_session': '2024-01-22', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).'], 'price_start_session': '2023-01-18', 'input_start_session': '2023-01-19', 'input_end_session': '2024-01-19', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': '46168ebce8a95181ab7015788b1040da2bee2f948ccff6c1ef34900183be92d9', 'fitted_parameters': {'const': 0.0020974902574739714, 'ar.L1': 0.7016442493410804, 'ma.L1': -0.8014097477416399, 'sigma2': 0.000399782956438286}, 'forecast_daily_returns': [0.0011715309999656255, 0.0014477962693191038, 0.0016416362068536366, 0.0017776428843173757, 0.0018730711874317954], 'forecast_5d_cumulative': 0.007936597771799114, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-01-19', 'last_observation_time_utc': '2024-01-19T21:00:00+00:00', 'row_count': 262, 'sha256': '5551f2ccca09b283aac7f0656689fabf0598675b9be7e18d780de7921ba3a7a6'}}",noop
AMZN,2024-01-26,2024-01-26T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-01-26T21:00:00+00:00', 'session': '2024-01-26', 'symbol': 'AMZN', 'cash': 0.0, 'quantity': 680.796450903985, 'close_price': 159.1199951, 'market_value': 108328.3279319395, 'equity': 108328.3279319395, 'current_weight': 1.0, 'average_entry_price': 146.81337550274998, 'unrealized_pnl': 8328.3279319395, 'realized_pnl': 0.0, 'cumulative_cost': 99.92504996875661, 'current_drawdown': 0.0, 'peak_equity': 108328.3279319395, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 49.97501249375312, 'cumulative_slippage_cost': 49.95003747500349, 'cumulative_transaction_cost': 99.92504996875661}, 'next_execution_session': '2024-01-29', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).'], 'price_start_session': '2023-01-25', 'input_start_session': '2023-01-26', 'input_end_session': '2024-01-26', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': 'c055c89ceb187faab8260c77e07bd7fe4fcc4835989a2b6cc39a4f57919f8cbd', 'fitted_parameters': {'const': 0.002080104511743407, 'ar.L1': 0.7116242545657729, 'ma.L1': -0.8087278920431522, 'sigma2': 0.0003928965986695605}, 'forecast_daily_returns': [0.0005673200813552516, 0.0010035704191497285, 0.0013140167405867897, 0.0015349378726621247, 0.0016921507085930617], 'forecast_5d_cumulative': 0.006126553290936476, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-01-26', 'last_observation_time_utc': '2024-01-26T21:00:00+00:00', 'row_count': 267, 'sha256': 'efd9d77c577114b08f446d29cc4fcc7e3b5b29e1a8c30feb9eb23e9fa1895b73'}}",noop
AMZN,2024-02-02,2024-02-02T21:00:00+00:00,SELL,0.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=0.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-02-02T21:00:00+00:00', 'session': '2024-02-02', 'symbol': 'AMZN', 'cash': 0.0, 'quantity': 680.796450903985, 'close_price': 171.8099976, 'market_value': 116967.6365959022, 'equity': 116967.6365959022, 'current_weight': 1.0, 'average_entry_price': 146.81337550274998, 'unrealized_pnl': 16967.636595902193, 'realized_pnl': 0.0, 'cumulative_cost': 99.92504996875661, 'current_drawdown': 0.0, 'peak_equity': 116967.6365959022, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 49.97501249375312, 'cumulative_slippage_cost': 49.95003747500349, 'cumulative_transaction_cost': 99.92504996875661}, 'next_execution_session': '2024-02-05', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).'], 'price_start_session': '2023-02-01', 'input_start_session': '2023-02-02', 'input_end_session': '2024-02-02', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': 'bbb56cbba24e14a789e26a3f6116d57d45ec0a302b726cd214c4f64867a4531b', 'fitted_parameters': {'const': 0.0020697292098000946, 'ar.L1': 0.5194674755410427, 'ma.L1': -0.642053249905902, 'sigma2': 0.00041276397942372985}, 'forecast_daily_returns': [-0.007789152665566823, -0.003051639269654098, -0.000590655145537443, 0.0006877460647640196, 0.001351833914207934], 'forecast_5d_cumulative': -0.00938404300859963, 'signal': 'CASH', 'target_weight': 0.0, 'action_label': 'SELL', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-02-02', 'last_observation_time_utc': '2024-02-02T21:00:00+00:00', 'row_count': 272, 'sha256': 'ba773f937abce11662fc4f30e4a086370c319e2b7d7adfda976f258be9b67551'}}",ordered
AMZN,2024-02-09,2024-02-09T21:00:00+00:00,BUY,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-02-09T21:00:00+00:00', 'session': '2024-02-09', 'symbol': 'AMZN', 'cash': 115755.71124744434, 'quantity': 0.0, 'close_price': 174.4499969, 'market_value': 0.0, 'equity': 115755.71124744434, 'current_weight': 0.0, 'average_entry_price': 0.0, 'unrealized_pnl': 0.0, 'realized_pnl': 15755.711247444344, 'cumulative_cost': 215.76763591367154, 'current_drawdown': -0.010361202326800822, 'peak_equity': 116967.6365959022, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 107.88182152198941, 'cumulative_slippage_cost': 107.88581439168212, 'cumulative_transaction_cost': 215.76763591367154}, 'next_execution_session': '2024-02-12', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).'], 'price_start_session': '2023-02-08', 'input_start_session': '2023-02-09', 'input_end_session': '2024-02-09', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': '00d3b2caf46e468374b89cd53c9aa51ff287a074bd5fe8ead2e2651479b070f8', 'fitted_parameters': {'const': 0.0023810928003104334, 'ar.L1': 0.6652947283464168, 'ma.L1': -0.7612348469313615, 'sigma2': 0.00036551884586142485}, 'forecast_daily_returns': [-0.0010392830301616221, 0.00010553479133387734, 0.0008671760528918624, 0.0013738919690975044, 0.0017110073969183427], 'forecast_5d_cumulative': 0.0030195500559457855, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'BUY', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-02-09', 'last_observation_time_utc': '2024-02-09T21:00:00+00:00', 'row_count': 277, 'sha256': '354be2bbb8503483aa971175efb0c2b9889415f7e5e5e0afaabfe4b234afa96a'}}",ordered
AMZN,2024-02-16,2024-02-16T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-02-16T21:00:00+00:00', 'session': '2024-02-16', 'symbol': 'AMZN', 'cash': 0.0, 'quantity': 661.5562943038566, 'close_price': 169.5099945, 'market_value': 112140.40380888712, 'equity': 112140.40380888712, 'current_weight': 1.0, 'average_entry_price': 174.88740310154998, 'unrealized_pnl': -3615.307438557227, 'realized_pnl': 15755.711247444344, 'cumulative_cost': 331.43658821937095, 'current_drawdown': -0.041269815544722976, 'peak_equity': 116967.6365959022, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 165.73075268013253, 'cumulative_slippage_cost': 165.7058355392384, 'cumulative_transaction_cost': 331.43658821937095}, 'next_execution_session': '2024-02-20', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).'], 'price_start_session': '2023-02-15', 'input_start_session': '2023-02-16', 'input_end_session': '2024-02-16', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': '255dfbee2676fd5912eee65ad2b54f6a8995790a6a7a1feb960e63da3dbf7307', 'fitted_parameters': {'const': 0.0023405618152209776, 'ar.L1': 0.754099223232177, 'ma.L1': -0.8424279170840211, 'sigma2': 0.00036538680753900446}, 'forecast_daily_returns': [0.0028228631607473283, 0.0027042648852462327, 0.0026148300178141805, 0.0025473872537537974, 0.0024965287177632313], 'forecast_5d_cumulative': 0.013255570666497851, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-02-16', 'last_observation_time_utc': '2024-02-16T21:00:00+00:00', 'row_count': 282, 'sha256': '4dc0579d69491e54ccc319a307fdd2701f08f6b6d6adaea67c2ca3b8e7b44193'}}",noop
AMZN,2024-02-23,2024-02-23T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-02-23T21:00:00+00:00', 'session': '2024-02-23', 'symbol': 'AMZN', 'cash': 0.0, 'quantity': 661.5562943038566, 'close_price': 174.9900055, 'market_value': 115765.73957879149, 'equity': 115765.73957879149, 'current_weight': 1.0, 'average_entry_price': 174.88740310154998, 'unrealized_pnl': 10.02833134713795, 'realized_pnl': 15755.711247444344, 'cumulative_cost': 331.43658821937095, 'current_drawdown': -0.01027546637761867, 'peak_equity': 116967.6365959022, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 165.73075268013253, 'cumulative_slippage_cost': 165.7058355392384, 'cumulative_transaction_cost': 331.43658821937095}, 'next_execution_session': '2024-02-26', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).'], 'price_start_session': '2023-02-22', 'input_start_session': '2023-02-23', 'input_end_session': '2024-02-23', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': '8e1764f5ceba8e55e5a8df60518c5ec75eae8d4fb3e04e0a6b9e1136ffe41dfa', 'fitted_parameters': {'const': 0.002593411715553439, 'ar.L1': 0.7397882734542744, 'ma.L1': -0.8436057926470594, 'sigma2': 0.00036023754261694125}, 'forecast_daily_returns': [0.000678410489967388, 0.0011767162652143147, 0.0015453570343365323, 0.0018180731524503136, 0.00201982533861286], 'forecast_5d_cumulative': 0.0072587981177167915, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-02-23', 'last_observation_time_utc': '2024-02-23T21:00:00+00:00', 'row_count': 286, 'sha256': 'b20ffc90c0156d4a81b59ba89c84edd29fed097c4d66ef379da126b6de32c4e4'}}",noop
AMZN,2024-03-01,2024-03-01T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-03-01T21:00:00+00:00', 'session': '2024-03-01', 'symbol': 'AMZN', 'cash': 0.0, 'quantity': 661.5562943038566, 'close_price': 178.2200012, 'market_value': 117902.56356470089, 'equity': 117902.56356470089, 'current_weight': 1.0, 'average_entry_price': 174.88740310154998, 'unrealized_pnl': 2146.852317256541, 'realized_pnl': 15755.711247444344, 'cumulative_cost': 331.43658821937095, 'current_drawdown': 0.0, 'peak_equity': 117902.56356470089, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 165.73075268013253, 'cumulative_slippage_cost': 165.7058355392384, 'cumulative_transaction_cost': 331.43658821937095}, 'next_execution_session': '2024-03-04', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).'], 'price_start_session': '2023-03-01', 'input_start_session': '2023-03-02', 'input_end_session': '2024-03-01', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': '97e32a9d9b0e28a8370fbcdedf204b973be6f06e8ee69ff91362792ddf4956f3', 'fitted_parameters': {'const': 0.002759321010408383, 'ar.L1': 0.7244108751972864, 'ma.L1': -0.8326861035811807, 'sigma2': 0.00035656299470348353}, 'forecast_daily_returns': [0.0009901070319615112, 0.0014776831638704114, 0.0018308886163118454, 0.0020867544872393983, 0.0022721065067311426], 'forecast_5d_cumulative': 0.008687048963349486, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-03-01', 'last_observation_time_utc': '2024-03-01T21:00:00+00:00', 'row_count': 291, 'sha256': '1d9f3ef603a07771b6850cec68e6bab4caf169f37a1e8706a5bd698953de4cfb'}}",noop
AMZN,2024-03-08,2024-03-08T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-03-08T21:00:00+00:00', 'session': '2024-03-08', 'symbol': 'AMZN', 'cash': 0.0, 'quantity': 661.5562943038566, 'close_price': 175.3500061, 'market_value': 116003.90024167465, 'equity': 116003.90024167465, 'current_weight': 1.0, 'average_entry_price': 174.88740310154998, 'unrealized_pnl': 248.18899423030717, 'realized_pnl': 15755.711247444344, 'cumulative_cost': 331.43658821937095, 'current_drawdown': -0.016103664463447576, 'peak_equity': 117902.56356470089, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 165.73075268013253, 'cumulative_slippage_cost': 165.7058355392384, 'cumulative_transaction_cost': 331.43658821937095}, 'next_execution_session': '2024-03-11', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).'], 'price_start_session': '2023-03-08', 'input_start_session': '2023-03-09', 'input_end_session': '2024-03-08', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': 'b40b04dc1d200b63015950d11533812008c76a2505477bb90a504df0944da52d', 'fitted_parameters': {'const': 0.0026711999137284783, 'ar.L1': 0.7322655259924817, 'ma.L1': -0.8390815235473655, 'sigma2': 0.0003564263847272661}, 'forecast_daily_returns': [0.0038083549299115877, 0.003503899329788792, 0.003280956989623516, 0.0031177039996363957, 0.0029981594630536317], 'forecast_5d_cumulative': 0.016820915758159583, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-03-08', 'last_observation_time_utc': '2024-03-08T21:00:00+00:00', 'row_count': 296, 'sha256': '6c4ba67646285302b5a4ca5967324123fb1774b44e9142277498725409bf51f5'}}",noop
