symbol,decision_session,decision_time_utc,action,target_weight,status,reason,strategy_id,experiment_id,raw_signal,metadata,rebalance_status
JPM,2024-01-05,2024-01-05T21:00:00+00:00,BUY,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-01-05T21:00:00+00:00', 'session': '2024-01-05', 'symbol': 'JPM', 'cash': 100000.0, 'quantity': 0.0, 'close_price': 172.2700043, 'market_value': 0.0, 'equity': 100000.0, 'current_weight': 0.0, 'average_entry_price': 0.0, 'unrealized_pnl': 0.0, 'realized_pnl': 0.0, 'cumulative_cost': 0.0, 'current_drawdown': 0.0, 'peak_equity': 100000.0, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 0.0, 'cumulative_slippage_cost': 0.0, 'cumulative_transaction_cost': 0.0}, 'next_execution_session': '2024-01-08', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).', 'UserWarning: Non-stationary starting autoregressive parameters found. Using zeros as starting parameters.', 'UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.'], 'price_start_session': '2023-01-04', 'input_start_session': '2023-01-05', 'input_end_session': '2024-01-05', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': 'd65d33f8999f47653e603689f5b68caa89402e58a70eb14eea7b7bbe18b008b7', 'fitted_parameters': {'const': 0.0011520703092613891, 'ar.L1': -0.6876681331165679, 'ma.L1': 0.5838448747094637, 'sigma2': 0.0001654959581075284}, 'forecast_daily_returns': [0.0015556523655389802, 0.0008745397900616324, 0.0013429192032823577, 0.001020829606602628, 0.001242320358247646], 'forecast_5d_cumulative': 0.006050709756524553, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'BUY', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-01-05', 'last_observation_time_utc': '2024-01-05T21:00:00+00:00', 'row_count': 253, 'sha256': 'f9159a3c1ed3c90e6642c7a2100e53dac905bcb3d57b1a8e5b5f15b9fc830ac2'}}",ordered
JPM,2024-01-12,2024-01-12T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-01-12T21:00:00+00:00', 'session': '2024-01-12', 'symbol': 'JPM', 'cash': 0.0, 'quantity': 580.7468460226705, 'close_price': 169.0500031, 'market_value': 98175.25612044768, 'equity': 98175.25612044768, 'current_weight': 1.0, 'average_entry_price': 172.10601430215002, 'unrealized_pnl': -1824.7438795523256, 'realized_pnl': 0.0, 'cumulative_cost': 99.92504996877136, 'current_drawdown': -0.018247438795523152, 'peak_equity': 100000.0, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 49.97501249375312, 'cumulative_slippage_cost': 49.95003747501825, 'cumulative_transaction_cost': 99.92504996877136}, 'next_execution_session': '2024-01-16', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).', 'UserWarning: Non-stationary starting autoregressive parameters found. Using zeros as starting parameters.', 'UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.'], 'price_start_session': '2023-01-11', 'input_start_session': '2023-01-12', 'input_end_session': '2024-01-12', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': 'd9ade00ef07b1a8eec609dcd830de013a918bf30c1cb9252be84d50811813f6e', 'fitted_parameters': {'const': 0.0009545140890380583, 'ar.L1': -0.6974940629916367, 'ma.L1': 0.595557968389831, 'sigma2': 0.00016447928850729174}, 'forecast_daily_returns': [0.00125344938110593, 0.0007460084976020469, 0.0010999455011652362, 0.0008530765425068618, 0.0010252661755080059], 'forecast_5d_cumulative': 0.004987586480254658, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-01-12', 'last_observation_time_utc': '2024-01-12T21:00:00+00:00', 'row_count': 258, 'sha256': '839aca677300259b2ede7f4317e2dcbf15d810c257f05944d180439dea21966f'}}",noop
JPM,2024-01-19,2024-01-19T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-01-19T21:00:00+00:00', 'session': '2024-01-19', 'symbol': 'JPM', 'cash': 0.0, 'quantity': 580.7468460226705, 'close_price': 170.3099976, 'market_value': 98906.99395232859, 'equity': 98906.99395232859, 'current_weight': 1.0, 'average_entry_price': 172.10601430215002, 'unrealized_pnl': -1093.0060476714111, 'realized_pnl': 0.0, 'cumulative_cost': 99.92504996877136, 'current_drawdown': -0.010930060476714187, 'peak_equity': 100000.0, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 49.97501249375312, 'cumulative_slippage_cost': 49.95003747501825, 'cumulative_transaction_cost': 99.92504996877136}, 'next_execution_session': '2024-01-22', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).', 'UserWarning: Non-stationary starting autoregressive parameters found. Using zeros as starting parameters.', 'UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.'], 'price_start_session': '2023-01-18', 'input_start_session': '2023-01-19', 'input_end_session': '2024-01-19', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': '0e0106766ae98b609ce836a5a4fac12be513a36d196d9f5fae29ec220f35e415', 'fitted_parameters': {'const': 0.0010646482201339851, 'ar.L1': -0.6978187244254117, 'ma.L1': 0.585948770400893, 'sigma2': 0.00015812711891602556}, 'forecast_daily_returns': [-0.0005641700267443319, 0.0022012680914914474, 0.00027149359134674505, 0.0016181263714664079, 0.0006784208025738588], 'forecast_5d_cumulative': 0.00420982226870481, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-01-19', 'last_observation_time_utc': '2024-01-19T21:00:00+00:00', 'row_count': 262, 'sha256': '9149c64f0e6d957cfc37b784679ef2b8bdd07ab1a39c9da73893af0b48cf786d'}}",noop
JPM,2024-01-26,2024-01-26T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-01-26T21:00:00+00:00', 'session': '2024-01-26', 'symbol': 'JPM', 'cash': 0.0, 'quantity': 580.7468460226705, 'close_price': 172.2799988, 'market_value': 100051.06593588945, 'equity': 100051.06593588945, 'current_weight': 1.0, 'average_entry_price': 172.10601430215002, 'unrealized_pnl': 51.06593588945612, 'realized_pnl': 0.0, 'cumulative_cost': 99.92504996877136, 'current_drawdown': -0.003816373255699723, 'peak_equity': 100434.36094495306, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 49.97501249375312, 'cumulative_slippage_cost': 49.95003747501825, 'cumulative_transaction_cost': 99.92504996877136}, 'next_execution_session': '2024-01-29', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).', 'UserWarning: Non-stationary starting autoregressive parameters found. Using zeros as starting parameters.', 'UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.'], 'price_start_session': '2023-01-25', 'input_start_session': '2023-01-26', 'input_end_session': '2024-01-26', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': '7167ab8cc93647aa0cabd7bd7867c9afe12ac409d5d0f442932eda6768e6bdec', 'fitted_parameters': {'const': 0.0010383551635433311, 'ar.L1': -0.6968234844278648, 'ma.L1': 0.5838095039708051, 'sigma2': 0.00015732094700294619}, 'forecast_daily_returns': [0.0021279092003578743, 0.0002791283231377751, 0.0015674022559458891, 0.0006697027251889501, 0.0012952408401802596], 'forecast_5d_cumulative': 0.005952440041327556, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-01-26', 'last_observation_time_utc': '2024-01-26T21:00:00+00:00', 'row_count': 267, 'sha256': 'cc5b8aae27dbb913879dc2e0d4cb5be0b35b14a12987e8394a8d7f0d2a069fc5'}}",noop
JPM,2024-02-02,2024-02-02T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-02-02T21:00:00+00:00', 'session': '2024-02-02', 'symbol': 'JPM', 'cash': 0.0, 'quantity': 580.7468460226705, 'close_price': 174.7299957, 'market_value': 101473.89390832977, 'equity': 101473.89390832977, 'current_weight': 1.0, 'average_entry_price': 172.10601430215002, 'unrealized_pnl': 1473.8939083297773, 'realized_pnl': 0.0, 'cumulative_cost': 99.92504996877136, 'current_drawdown': -0.008736645841223467, 'peak_equity': 102368.24904562758, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 49.97501249375312, 'cumulative_slippage_cost': 49.95003747501825, 'cumulative_transaction_cost': 99.92504996877136}, 'next_execution_session': '2024-02-05', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).', 'UserWarning: Non-stationary starting autoregressive parameters found. Using zeros as starting parameters.'], 'price_start_session': '2023-02-01', 'input_start_session': '2023-02-02', 'input_end_session': '2024-02-02', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': 'd3f16e9103cf01e5ea940ba0cf8d244f18751b3f2d7580ed56de34e3ae320b8a', 'fitted_parameters': {'const': 0.0010803632358510346, 'ar.L1': -0.9830344081214433, 'ma.L1': 0.9791033921078586, 'sigma2': 0.00016309983689414659}, 'forecast_daily_returns': [0.0009822842578514214, 0.0011767782459380406, 0.0009855839634761317, 0.0011735345217722783, 0.000988772655941531], 'forecast_5d_cumulative': 0.005318209458770706, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-02-02', 'last_observation_time_utc': '2024-02-02T21:00:00+00:00', 'row_count': 272, 'sha256': 'a09b5c613fba35c66fcc85e1a03c5ef311fd8a9a3e7117f7783a06b8eec08839'}}",noop
JPM,2024-02-09,2024-02-09T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-02-09T21:00:00+00:00', 'session': '2024-02-09', 'symbol': 'JPM', 'cash': 0.0, 'quantity': 580.7468460226705, 'close_price': 175.0099945, 'market_value': 101636.50232831991, 'equity': 101636.50232831991, 'current_weight': 1.0, 'average_entry_price': 172.10601430215002, 'unrealized_pnl': 1636.502328319919, 'realized_pnl': 0.0, 'cumulative_cost': 99.92504996877136, 'current_drawdown': -0.007148180457609676, 'peak_equity': 102368.24904562758, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 49.97501249375312, 'cumulative_slippage_cost': 49.95003747501825, 'cumulative_transaction_cost': 99.92504996877136}, 'next_execution_session': '2024-02-12', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).'], 'price_start_session': '2023-02-08', 'input_start_session': '2023-02-09', 'input_end_session': '2024-02-09', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': 'a02def12189bacd034e71f1ccd16bc178e203f04d5686392c82df93e7b002fd0', 'fitted_parameters': {'const': 0.0009963073117507369, 'ar.L1': -0.992163887125955, 'ma.L1': 0.9299109568910913, 'sigma2': 0.00016419515611765579}, 'forecast_daily_returns': [0.0010691238919554758, 0.0009240613304875843, 0.0010679871653500152, 0.0009251891495750575, 0.001066868183980213], 'forecast_5d_cumulative': 0.005063441729739937, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-02-09', 'last_observation_time_utc': '2024-02-09T21:00:00+00:00', 'row_count': 277, 'sha256': 'af271d0a3de1de40ed2383df88529e19ed3637f489f0581c7ab3dc4eaadc60d7'}}",noop
JPM,2024-02-16,2024-02-16T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-02-16T21:00:00+00:00', 'session': '2024-02-16', 'symbol': 'JPM', 'cash': 0.0, 'quantity': 580.7468460226705, 'close_price': 179.0299988, 'market_value': 103971.10714654248, 'equity': 103971.10714654248, 'current_weight': 1.0, 'average_entry_price': 172.10601430215002, 'unrealized_pnl': 3971.107146542482, 'realized_pnl': 0.0, 'cumulative_cost': 99.92504996877136, 'current_drawdown': -0.004670019029761052, 'peak_equity': 104458.9323484382, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 49.97501249375312, 'cumulative_slippage_cost': 49.95003747501825, 'cumulative_transaction_cost': 99.92504996877136}, 'next_execution_session': '2024-02-20', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).'], 'price_start_session': '2023-02-15', 'input_start_session': '2023-02-16', 'input_end_session': '2024-02-16', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': '80e54d2c229b2afe5b1fb48c31977db2657ccad17f1251dadd1b481c7e7e1856', 'fitted_parameters': {'const': 0.0010633803533941747, 'ar.L1': -0.9140571113264506, 'ma.L1': 0.850168231567401, 'sigma2': 0.0001612765885421163}, 'forecast_daily_returns': [0.0017475378077508297, 0.0004380213669724725, 0.0016349941820648327, 0.0005408926683652202, 0.001540963937475385], 'forecast_5d_cumulative': 0.005915549613396465, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-02-16', 'last_observation_time_utc': '2024-02-16T21:00:00+00:00', 'row_count': 282, 'sha256': '557c6ceb22fec4c657384fdc3907408c440fa3b1497a41a37b6ab2e98fa97cdc'}}",noop
JPM,2024-02-23,2024-02-23T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-02-23T21:00:00+00:00', 'session': '2024-02-23', 'symbol': 'JPM', 'cash': 0.0, 'quantity': 580.7468460226705, 'close_price': 183.9900055, 'market_value': 106851.6153938188, 'equity': 106851.6153938188, 'current_weight': 1.0, 'average_entry_price': 172.10601430215002, 'unrealized_pnl': 6851.615393818802, 'realized_pnl': 0.0, 'cumulative_cost': 99.92504996877136, 'current_drawdown': 0.0, 'peak_equity': 106851.6153938188, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 49.97501249375312, 'cumulative_slippage_cost': 49.95003747501825, 'cumulative_transaction_cost': 99.92504996877136}, 'next_execution_session': '2024-02-26', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).'], 'price_start_session': '2023-02-22', 'input_start_session': '2023-02-23', 'input_end_session': '2024-02-23', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': '92bd5cd5d85780ef0fdaa65feb47f39e1daf3d210e85f5e01ca9bf7d71222f6f', 'fitted_parameters': {'const': 0.001317077869934305, 'ar.L1': -0.9092325293504576, 'ma.L1': 0.8415403932985271, 'sigma2': 0.00015929966474341006}, 'forecast_daily_returns': [0.0019026476514163748, 0.0007846587764061679, 0.001801170629017371, 0.0008769249861529673, 0.0017172791897557087], 'forecast_5d_cumulative': 0.007102190304819844, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-02-23', 'last_observation_time_utc': '2024-02-23T21:00:00+00:00', 'row_count': 286, 'sha256': '119cfff2e32373a1718bb0116f7d76bd77bb3a53e596b904647b6bd467665efa'}}",noop
JPM,2024-03-01,2024-03-01T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-03-01T21:00:00+00:00', 'session': '2024-03-01', 'symbol': 'JPM', 'cash': 0.0, 'quantity': 580.7468460226705, 'close_price': 185.2899933, 'market_value': 107606.57920853674, 'equity': 107606.57920853674, 'current_weight': 1.0, 'average_entry_price': 172.10601430215002, 'unrealized_pnl': 7606.579208536749, 'realized_pnl': 0.0, 'cumulative_cost': 99.92504996877136, 'current_drawdown': -0.004138473126584774, 'peak_equity': 108053.75677718566, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 49.97501249375312, 'cumulative_slippage_cost': 49.95003747501825, 'cumulative_transaction_cost': 99.92504996877136}, 'next_execution_session': '2024-03-04', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).'], 'price_start_session': '2023-03-01', 'input_start_session': '2023-03-02', 'input_end_session': '2024-03-01', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': 'f36906c5909f60f26970083ab743b5a365e11e6a6986be3e5c50c66f7b1cc7ec', 'fitted_parameters': {'const': 0.0012246317286876496, 'ar.L1': -0.919359078328687, 'ma.L1': 0.8566513995618263, 'sigma2': 0.00015910062040477136}, 'forecast_daily_returns': [0.0016756830956212243, 0.000809953559704704, 0.001605869867926838, 0.0008741369843729657, 0.0015468622537798463], 'forecast_5d_cumulative': 0.006529132973557061, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-03-01', 'last_observation_time_utc': '2024-03-01T21:00:00+00:00', 'row_count': 291, 'sha256': 'fa3330ddbe8beaa4342526e93f1d64ba4137fda4d31e20c613e963089b06fc02'}}",noop
JPM,2024-03-08,2024-03-08T21:00:00+00:00,HOLD,1.0,success,"fixed ARMA(1,1) five-session cumulative forecast",arma11_fixed_v1,ARMA11_2024H1,target=1.0,"{'benchmark_identity': 'ARMA11_FIXED_V1', 'return_convention': 'daily_simple_pit_total_return', 'model_order': [1, 0, 1], 'trend': 'c', 'fit_method': 'statespace', 'maxiter': 200, 'forecast_steps': 5, 'statsmodels_version': '0.14.5', 'current_portfolio_state': {'timestamp': '2024-03-08T21:00:00+00:00', 'session': '2024-03-08', 'symbol': 'JPM', 'cash': 0.0, 'quantity': 580.7468460226705, 'close_price': 188.2200012, 'market_value': 109308.17205528327, 'equity': 109308.17205528327, 'current_weight': 1.0, 'average_entry_price': 172.10601430215002, 'unrealized_pnl': 9308.17205528327, 'realized_pnl': 0.0, 'cumulative_cost': 99.92504996877136, 'current_drawdown': -0.006911821918926586, 'peak_equity': 110068.94902978052, 'cumulative_dividends': 0.0, 'cumulative_commission_cost': 49.97501249375312, 'cumulative_slippage_cost': 49.95003747501825, 'cumulative_transaction_cost': 99.92504996877136}, 'next_execution_session': '2024-03-11', 'model_failure': False, 'fit_status': 'success', 'fit_success': True, 'converged': True, 'fit_warnings': ['DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).'], 'price_start_session': '2023-03-08', 'input_start_session': '2023-03-09', 'input_end_session': '2024-03-08', 'input_observation_count': 252, 'input_price_observation_count': 253, 'return_series_sha256': '2a5308b9dc31f4ff2c7b04cd49a7e49af6d019cb2f626a589287bfdc677d081f', 'fitted_parameters': {'const': 0.0014341882004373775, 'ar.L1': -0.9707716038621957, 'ma.L1': 0.9195400326110305, 'sigma2': 0.00015416270984223786}, 'forecast_daily_returns': [0.0006778084608625625, 0.0021684601733532906, 0.0007213778196187378, 0.002126164277074311, 0.0007624374746862721], 'forecast_5d_cumulative': 0.006471714847526622, 'signal': 'LONG', 'target_weight': 1.0, 'action_label': 'HOLD', 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-03-08', 'last_observation_time_utc': '2024-03-08T21:00:00+00:00', 'row_count': 296, 'sha256': 'a8a2ff50b2ad120818e691bba257193e9fb73cf408c440ad6a0af1444c45497b'}}",noop
