experiment_id,run_id,case_id,symbol,decision_session,usage_source,origin_run_id,agent_node,provider,model,thinking_mode,prompt_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,completion_tokens,reasoning_tokens,total_tokens,latency_seconds
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Market Analyst,deepseek,deepseek-v4-flash,disabled,2397,2304,93,173,,2570,1.7708780410030158
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Market Analyst,deepseek,deepseek-v4-flash,disabled,5743,2560,3183,783,,6526,4.511898042001121
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Market Analyst,deepseek,deepseek-v4-flash,disabled,11447,6400,5047,345,,11792,2.56520904199715
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Market Analyst,deepseek,deepseek-v4-flash,disabled,14225,11776,2449,3028,,17253,25.443978333001724
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Sentiment Analyst,deepseek,deepseek-v4-flash,disabled,2056,2048,8,897,,2953,8.444752458002768
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,News Analyst,deepseek,deepseek-v4-flash,disabled,2015,1920,95,497,,2512,3.188350791002449
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,News Analyst,deepseek,deepseek-v4-flash,disabled,2959,2432,527,306,,3265,2.252421291996143
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,News Analyst,deepseek,deepseek-v4-flash,disabled,3558,3200,358,1085,,4643,8.49249791699549
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,2410,0,2410,312,,2722,2.6616682909952942
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,2929,2688,241,264,,3193,1.9580704999971204
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Fundamentals Analyst,deepseek,deepseek-v4-flash,disabled,3349,3072,277,2979,,6328,26.88743262499338
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Bull Researcher,deepseek,deepseek-v4-flash,disabled,8257,0,8257,1742,,9999,20.74459229200147
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Bear Researcher,deepseek,deepseek-v4-flash,disabled,11762,0,11762,1861,,13623,21.33237308299431
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Bull Researcher,deepseek,deepseek-v4-flash,disabled,13732,8192,5540,1886,,15618,19.148861166999268
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Bear Researcher,deepseek,deepseek-v4-flash,disabled,15661,4096,11565,2363,,18024,26.00011274999997
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Bull Researcher,deepseek,deepseek-v4-flash,disabled,18491,8192,10299,2113,,20604,22.683689750003396
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Bear Researcher,deepseek,deepseek-v4-flash,disabled,20372,9856,10516,2363,,22735,13.04913295800361
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Research Manager,deepseek,deepseek-v4-flash,disabled,13105,512,12593,969,,14074,10.030672708999191
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Trader,deepseek,deepseek-v4-flash,disabled,1728,0,1728,710,,2438,5.878984374998254
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Aggressive Analyst,deepseek,deepseek-v4-flash,disabled,8681,0,8681,1419,,10100,17.16558358299517
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Conservative Analyst,deepseek,deepseek-v4-flash,disabled,11504,0,11504,1108,,12612,13.402740749996156
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Neutral Analyst,deepseek,deepseek-v4-flash,disabled,13703,0,13703,1188,,14891,12.493105708999792
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Aggressive Analyst,deepseek,deepseek-v4-flash,disabled,14707,2688,12019,1412,,16119,16.917722708996735
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Conservative Analyst,deepseek,deepseek-v4-flash,disabled,16406,4096,12310,1485,,17891,14.019559125001251
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Neutral Analyst,deepseek,deepseek-v4-flash,disabled,18169,5248,12921,1177,,19346,12.863003124999523
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Aggressive Analyst,deepseek,deepseek-v4-flash,disabled,19158,8448,10710,1487,,20645,15.010433499999635
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Conservative Analyst,deepseek,deepseek-v4-flash,disabled,20630,9856,10774,1683,,22313,11.315040041998145
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Neutral Analyst,deepseek,deepseek-v4-flash,disabled,22800,11008,11792,1523,,24323,14.133737374999328
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,live_request,20260814T015553499023Z_ac0d1b00,Portfolio Manager,deepseek,deepseek-v4-flash,disabled,14578,512,14066,646,,15224,6.016316499997629
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-12,AAPL,2024-01-12,live_request,20260814T015553499023Z_ac0d1b00,,deepseek,deepseek-v4-flash,disabled,696,0,696,123,,819,2.084157834004145
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-12,AAPL,2024-01-12,live_request,20260814T015553499023Z_ac0d1b00,Market Analyst,deepseek,deepseek-v4-flash,disabled,2395,0,2395,173,,2568,2.1367842909967294
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-12,AAPL,2024-01-12,live_request,20260814T015553499023Z_ac0d1b00,Market Analyst,deepseek,deepseek-v4-flash,disabled,5146,2560,2586,646,,5792,3.9061875420011347
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-12,AAPL,2024-01-12,live_request,20260814T015553499023Z_ac0d1b00,Market Analyst,deepseek,deepseek-v4-flash,disabled,10687,5760,4927,342,,11029,2.7109296250055195
